Wire initialized.
Initializing MPU9250...
MPU9250 Initialized successfully.
Haptic motors initialized.
Flex1,Flex2,FSR1,FSR2,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ
0,0,46,65,-0.69,0.04,-0.70,0.31,3.60,-1.59,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.37,3.72,-0.79,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,0.49,3.54,-2.56,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,0.37,4.15,-1.77,0.00,0.00,0.00
0,0,47,66,-0.69,0.03,-0.70,0.18,4.15,-3.17,0.00,0.00,0.00
0,0,46,66,-0.69,0.05,-0.70,0.55,4.52,-2.32,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.49,3.91,-0.37,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-1.04,3.97,0.43,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.69,-0.43,4.03,-0.67,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.69,-0.55,4.27,-0.18,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.06,4.09,-1.04,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,0.37,4.03,-1.89,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.73,4.15,-0.43,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.69,-0.12,4.09,-1.40,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.37,4.09,-0.55,0.00,0.00,0.00
0,0,46,64,-0.69,0.04,-0.70,-0.31,3.97,-0.85,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.06,4.03,-0.92,0.00,0.00,0.00
0,0,46,64,-0.69,0.04,-0.70,0.18,3.91,0.31,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,-0.79,3.72,0.43,0.00,0.00,0.00
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
I2C ERROR CODE : 2
IMU update failed. Skipping this cycle...
0,0,43,61,-0.69,0.05,-0.71,0.49,5.80,-0.18,0.00,0.00,0.00
0,0,46,64,-0.69,0.05,-0.70,1.22,4.21,-3.91,0.00,0.00,0.00
0,0,46,65,-0.68,0.04,-0.70,-1.10,3.30,0.37,0.00,0.00,0.00
0,0,46,65,-0.69,0.05,-0.70,-0.12,3.60,-1.28,0.00,0.00,0.00
0,0,46,65,-0.69,0.05,-0.70,-0.43,4.03,-0.85,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,0.00,3.42,-1.16,0.00,0.00,0.00
0,0,46,65,-0.69,0.06,-0.70,0.31,4.15,-2.01,0.00,0.00,0.00
0,0,46,65,-0.69,0.02,-0.70,1.22,3.60,-5.74,0.00,0.00,0.00
0,0,46,65,-0.68,0.05,-0.70,0.61,5.13,-4.88,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-1.83,5.00,-0.24,0.00,0.00,0.00
0,0,46,65,-0.68,0.04,-0.70,0.37,3.97,-6.53,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.55,4.39,-0.43,0.00,0.00,0.00
0,0,46,65,-0.69,0.04,-0.70,-0.31,4.09,-1.04,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,-0.12,3.97,-0.79,0.00,0.00,0.00
0,0,46,64,-0.69,0.04,-0.70,-0.49,3.85,-0.24,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,-0.24,4.03,-0.73,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,-0.06,3.91,-0.92,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,-0.31,4.03,-0.61,0.00,0.00,0.00
0,0,46,64,-0.69,0.04,-0.70,-0.37,3.97,-0.43,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,-0.43,3.85,-0.49,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,0.00,4.03,-1.34,0.00,0.00,0.00
0,0,46,64,-0.69,0.04,-0.70,-0.92,3.48,-1.16,0.00,0.00,0.00
0,0,46,64,-0.69,0.04,-0.70,-0.06,4.15,-1.04,0.00,0.00,0.00
0,0,46,64,-0.69,0.04,-0.70,-0.24,4.09,-0.85,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,-0.12,4.03,-0.73,0.00,0.00,0.00
0,0,45,64,-0.69,0.04,-0.70,-0.37,3.91,-0.67,0.00,0.00,0.00
